"","AE-num","Total Tissue","Total SR Tissue","divided","logscaled_tissue","logscaled_tissue_sr","logscaled_tissue_std","logscaled_tissue_sr_std"
"1","AE1",1840935521,890926478,0.483953113966776,21.3335397146839,20.6077724657566,2.37502083074836,0.949199005486416
"2","AE100",532649445,272075202,0.510795992662679,20.0933740640609,19.4215890639885,0.440861585509694,-0.2369843962817
"3","AE1007",538605508,371157197,0.689107689184642,20.1044939648027,19.7321362424216,0.458204154879327,0.0735627821514369
"4","AE101",1427008345,487736473,0.341789502989907,21.0788460233567,20.0052858036129,1.97780118711688,0.346712343342737
"5","AE102",593342852,269420145,0.454071611534304,20.2012829551502,19.4117825964277,0.609156022014201,-0.246790863842457
"6","AE1023",873937369,304041811,0.347898856125009,20.588519270869,19.5326757860975,1.21308881096331,-0.125897674172692
"7","AE104",874753617,536342067,0.613135009191965,20.5894528240992,20.1002827001833,1.21454477824492,0.441709239913147
"8","AE105",334533971,133896111,0.400246679282685,19.6282489899245,18.7125747661769,-0.284546316153533,-0.945998694093281
"9","AE106",540131599,320213215,0.5928429582584,20.107323369684,19.5844976287558,0.462616887651728,-0.0740758315143291
"10","AE1066",1792740679,694567817,0.387433511793481,21.3070113914386,20.3588003640595,2.33364732420113,0.700226903789296
"11","AE1068",145357750,84448890,0.580972737951709,18.7947085031212,18.2516570572596,-1.5845339734649,-1.40691640301057
"12","AE107",653785315,342811921,0.524349374534361,20.2982895910049,19.6526925194625,0.760447328537247,-0.00588094080768276
"13","AE108",372295194,186729067,0.501561852017891,19.7351976298152,19.0451692846637,-0.117749485015376,-0.61340417560642
"14","AE1082",331231799,124261677,0.375150204102234,19.61832898734,18.6379001984045,-0.300017527359868,-1.02067326186571
"15","AE1085",366490174,201601067,0.550085872152196,19.7194822685632,19.1218013868062,-0.142259123096828,-0.536772073463951
"16","AE1086",444217115,236554055,0.532519002560268,19.9118239986238,19.2816873021477,0.157716557776921,-0.376886158122436
"17","AE1088",287507853,114616197,0.398654143892202,19.4767607326112,18.5570996873366,-0.520807023165022,-1.10147377293358
"18","AE1089",939669396,320032531,0.34057992349471,20.6610386649822,19.5839332079661,1.32618987654479,-0.0746402523040794
"19","AE109",963836721,508031362,0.527092764709055,20.686432461673,20.0460537398576,1.36579397831667,0.387480279587463
"20","AE1090",862910378,326385081,0.378237519586304,20.5758213942923,19.603588472289,1.19328523443025,-0.0549849879811548
"21","AE1091",137699037,73651269,0.534871344089356,18.7405809702104,18.114851930867,-1.66895113834022,-1.54372152940312
"22","AE1093",111397144,73196494,0.657076935473319,18.5286122477859,18.1086580816096,-1.9995370273888,-1.54991537866054
"23","AE1095",214996597,102126841,0.475016081301045,19.1861327580597,18.4417261379097,-0.974069684988845,-1.21684732236042
"24","AE1098",600823171,255834023,0.425805853283245,20.2138112245813,19.3600394445194,0.628695079667305,-0.298534015750808
"25","AE1099",393495332,216709229,0.550728843207726,19.7905797629814,19.1940670544322,-0.0313756487214117,-0.464506405837967
"26","AE11",271140737,98679654,0.363942560206289,19.4181485687648,18.4073893433363,-0.612218407224954,-1.25118411693381
"27","AE110",1014810709,571570561,0.563228743972586,20.737967938452,20.1638984998945,1.44616857893545,0.505325039624348
"28","AE1100",429370308,166079742,0.386798385695547,19.8778302933703,18.9279786044724,0.104700060131604,-0.73059485579778
"29","AE1101",682022853,267026149,0.3915208234232,20.340573724044,19.4028571478987,0.826393556610396,-0.255716312371502
"30","AE1102",285854817,102746290,0.35943522337075,19.4709946070278,18.4477733036328,-0.529799858195416,-1.21080015663738
"31","AE1104",467880621,125520939,0.268275567241328,19.9637237380093,18.6479831472406,0.238659261445173,-1.01059031302955
"32","AE1105",270161050,91498964,0.338683033694161,19.4145288206198,18.3318382077773,-0.617863757373668,-1.32673525249288
"33","AE1106",303812572,120881561,0.397882023789325,19.5319215297582,18.6103217894787,-0.434778381972691,-1.04825167079143
"34","AE1107",477563320,103849392,0.217456801330554,19.9842073164233,18.4584522536713,0.27060539908022,-1.20012120659888
"35","AE1108",829255447,189039445,0.227962861967188,20.5360388043559,19.057466254952,1.1312404067201,-0.60110720531813
"36","AE1109",614067735,181548792,0.295649456325856,20.2356157976165,19.0170350019881,0.662701437207719,-0.641538458282057
"37","AE111",440599177,127362591,0.289066792787041,19.9036461244234,18.6625486237604,0.14496236563878,-0.996024836509716
"38","AE1110",735131634,264684290,0.360050197486128,20.4155601350193,19.3940483152283,0.943342175516469,-0.264525145041909
"39","AE1111",493951105,135319878,0.273953993887715,20.0179470925208,18.7231520003097,0.323225869449157,-0.935421459960446
"40","AE1113",726401130,319706524,0.440123935379891,20.4036129408669,19.5829140204531,0.924709361413875,-0.0756594398170884
"41","AE1118",286024777,126292376,0.441543482087917,19.4715889978988,18.6541102212865,-0.528872847680386,-1.00446323898363
"42","AE1119",201282636,20202508,0.100368856457146,19.120220627575,16.8213173130803,-1.07686607874986,-2.83725614718991
"43","AE112",270696222,114457147,0.42282506255296,19.4165077980778,18.5557110488963,-0.614777349082393,-1.10286241137383
"44","AE1120",459122545,132301966,0.288162642938826,19.9448277149621,18.7005974891411,0.209189071187455,-0.957975971129103
